field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking
"registry_id","demographics","","text","Registry ID","","","","","","","","","","","",""
"surgeons","demographics","____________________________________ Study Coordinator Information ____________________________________","dropdown","Surgeon","1, Achor | 2, Brinker | 3, Burgess | 4, Choo | 5, Clyburn | 6, Crawford | 21, Dodwad | 7, Fullick | 8, Gary | 9, Harvin | 10, Koepplinger | 11, Levaro | 12, Lowe | 13, Mansour | 14, Marco | 15, Martin | 16, McGarvey | 17, Munz | 18, Prasarn | 19, Routt | 22, Woerner | 20, Younas | 0, OTHER","","","","","","","","","","",""
"surgeon","demographics","","text","Other Surgeon(s)","","Separate multiple names with commas.","","","","","[surgeons] = '0'","","","","",""
"patient_status","demographics","________________________________________ Patient Information ________________________________________","radio","Patient Status:","0, New / Active | 1, Discharge","","","","","","","Y","RH","","",""
"service_list","demographics","","checkbox","SERVICE LIST(s):","1, ORS | 2, Spine | 3, Hand","","","","","","","","RH","","",""
"admission_date","demographics","","text","Date of Admission","","YYYY-MM-DD (e.g. 2013-08-16)","date_ymd","","","","","","","","",""
"hd","demographics","","calc","HD","if ([patient_status] = 0, (rounddown(datediff(""today"",[admission_date],""d""))), 0)","Hospital Days (calculated in days)","","","","","","","","","",""
"discharge_date","demographics","","text","Date of Discharge","","YYYY-MM-DD (e.g. 2013-08-16)","date_ymd","","","","[patient_status] = '1'","Y","","","",""
"discharge_dispo","demographics","","radio","Discharge Disposition","0, Home | 1, Rehab | 2, Died | 3, Other | 4, Unknown","","","","","","[patient_status] = '1'","","LH","","",""
"discharge_dispo_other","demographics","","text","Other (Please specify):","","Discharge Disposition","","","","","[discharge_dispo] = '3'","","","","",""
"mrn","demographics","","text","MRN","","","orsmrn","","","","","","","","",""
"patient_first","demographics","","text","Patient First Name","","","","","","","","","","","",""
"patient_last","demographics","","text","Patient Last Name","","","","","","","","","","","",""
"gender","demographics","","radio","Gender","0, Male | 1, Female","","","","","","","","RH","","",""
"dob","demographics","","text","Birthdate","","YYYY-MM-DD (e.g. 1980-06-25)","date_ymd","","","","","","","","",""
"age","demographics","","calc","Age","rounddown(datediff(""today"",[dob],""y""))","(calculated in years)","","","","","","","","","",""
"room","demographics","","text","Room #","","","","","","","","","","","",""
"enterable_notes2_725","demographics","","text","Service","","e.g., Hospitalist, PediSurg, Trauma","","","","","","","","","",""
"enterable_notes2_698","demographics","","text","Diagnoses","","e.g., R DR, L femoral neck fx, etc.","","","","","","","","","",""
"pain_screen1","demographics","","yesno","<span style=color:#0FA000>(IN THE PAST 48 HOURS)</span> - Did patient sustain any of the following:

1) Proximal or Distal Humerus Fracture <span style=color:#FF0000>(NON-ARTICULAR)</span>","","","","","","","","Y","RH","","",""
"pain_screen2","demographics","","yesno","<span style=color:#0FA000>(IN THE PAST 48 HOURS)</span> - Did patient sustain any of the following:

1) <span style=color:#FF0000><strong>OPEN</strong></span> Femoral Shaft Fracture
2) Supracondylar Femoral Fracture (Open or Closed) ","","","","","","","","Y","RH","","",""
"pain_screen3","demographics","","yesno","<span style=color:#0FA000>(IN THE PAST 48 HOURS)</span> - Did patient sustain any of the following:

1) Calcaneus Fracture <span style=color:#FF0000>(Operative)</span>
2) Lis Franc Fracture <span style=color:#FF0000>(Operative)</span>
3) Talus Fracture <span style=color:#FF0000>(Operative)</span>
4) Ankle Fracture <span style=color:#000FDA>(OTA Code : 44B3 or 44C)</span>","","","","","","","","Y","RH","","",""
"mechanism","demographics","","checkbox","Mechanism of Injury","1, All-Terrain Vehicle (ATV) | 13, Assault | 2, Auto-Pedestrian | 3, Blast | 4, Crush | 5, Fall from < 20 Feet (LESS THAN) | 6, Fall from > or = 20 Feet (GREATER THAN) | 7, Gunshot Wound (GSW) | 8, Motorcycle Collision (MCC) | 9, Motor Vehicle Collision (MVC) | 10, Unknown | 12, N/A (Infections, etc.) | 11, Other","<span style=color:#FF0000><strong>Field Required!!!","","","","","","","","","",""
"mechanism_other","demographics","","text","Describe Mechanism of Injury","","","","","","","[mechanism(11)] = '1'","","","","",""
"enterable_notes","demographics","","notes","Enterable Notes","","e.g., Consulted for L hip disarticulation (XXX on board)","","","","","","","","","",""
"research_patient","demographics","","yesno","Research Patient","","Has patient consented for IRB approved research?","","","","","","","","","",""
"research","demographics","","checkbox","Research Studies","1, Bioburden (METRC) | 2, FIXIT (METRC) | 3, OUTLET (METRC) | 4, Oxygen (METRC) | 5, Pain (METRC) | 6, STREAM (METRC) | 7, TCCS (METRC) | 8, Other","","","","","","[research_patient] = '1'","","","","",""
"research_other","demographics","","text","Research Other","","","","","","","[research(8)] = '1'","","","","",""
"bioburden_id","demographics","","text","Bioburden ID","","","","","","","[research(1)] = '1'","","","","",""
"fixit_id","demographics","","text","FIXIT ID","","","","","","","[research(2)] = '1'","","","","",""
"outlet_id","demographics","","text","OUTLET ID","","","","","","","[research(3)] = '1'","","","","",""
"oxygen_id","demographics","","text","Oxygen ID","","","","","","","[research(4)] = '1'","","","","",""
"pain_id","demographics","","text","Pain ID","","","","","","","[research(5)] = '1'","","","","",""
"stream_id","demographics","","text","STREAM ID","","","","","","","[research(6)] = '1'","","","","",""
"tccs_id","demographics","","text","TCCS_ID","","","","","","","[research(7)] = '1'","","","","",""
"other_ids","demographics","","notes","Other IDs","","","","","","","[research(8)] = '1'","","","","",""
"ors_picture1","demographics","","file","Attach Picture
<span style=color:#FF0000><I>DE-IDENTIFY ALL IMAGES!","","","","","","","","","","","",""
"ors_picture2","demographics","","file","Attach Picture
<span style=color:#FF0000><I>DE-IDENTIFY ALL IMAGES!","","","","","","","","","","","",""
"ors_picture3","demographics","","file","Attach Picture
<span style=color:#FF0000><I>DE-IDENTIFY ALL IMAGES!","","","","","","","","","","","",""
"demographics_billing","billing","","descriptive","<span style=color:#000FDA>Name</span>: . . . . . . . . . [consultation_arm_1][patient_last], [consultation_arm_1][patient_first]
<span style=color:#000FDA>MRN</span>: . . . . . . . . . . [consultation_arm_1][registry_id]
<span style=color:#000FDA>Gender</span>: . . . . . . . . [consultation_arm_1][gender]
<span style=color:#000FDA>Date of Birth</span>: . . . [consultation_arm_1][dob]
<span style=color:#000FDA>Age</span>: . . . . . . . . . . . [consultation_arm_1][age]
<span style=color:#000FDA>Room #</span>: . . . . . . . . [consultation_arm_1][room]","","","","","","","","","","","",""
"billing_date","billing","","text","Date of Service
<span style=color:#0FDA00>(BILL #1)","","","date_ymd","","","","","","","","",""
"billing_fin","billing","","text","Hermann FIN ([record_id]-XXXX)","","Last 4 numbers of the 12 digit MRN","number","","","","","","","","",""
"billing_admit","billing","","text","Admission Date","","","date_ymd","","","","","","","","",""
"billing_consult","billing","","radio","Consult","1, ER | 2, Inpatient Consult | 3, Outpatient Consult | 4, Surgery","","","","","","","Y","","","",""
"eandm1","billing","","yesno","Was this encounter an <span style=color:#FF0000>E&M</span>?","","","","","","","[billing_consult] <> '4'","","RH","","",""
"billing_refer","billing","","text","Referring Physician","","","","","","","[billing_consult] = '3' or [billing_consult] = '2' or [billing_consult] = '1'","","","","",""
"billing_surgeon","billing","","dropdown","Surgeon","1, Achor (8060 - Z99125) | 2, Brinker | 3, Burgess (8072 - Z99300) | 4, Choo (8069 - Z99874) | 5, Clyburn (8003 - B21909) | 6, Crawford (8139 - Z99925) | 31, Dodwad | 7, Fullick (8084 - Z99477) | 8, Gary (8079 - Z99385) | 9, Harvin (8129 - Z99842) | 10, Koepplinger (8088 - I32133) | 11, Levaro | 12, Lowe (8061 - C18565) | 13, Mansour (8090 - Z99508) | 14, Marco (8032 - H23434) | 15, Martin (8104 - Z99619) | 16, McGarvey (8007 - F92335) | 17, Munz (8080 - Z99394) | 18, Prasarn (8081 - Z99428) | 19, Routt (8122 - A06385) | 30, Woerner | 20, Younas (32673 - Z99120) | 21, Amy (Routt/Burgess) | 22, Audrey (Gary) | 23, Denise (Achor) | 24, Jeana (Munz) | 28, Kimberly Sirman (Prasarn) | 25, Tami (Choo/Harvin) | 26, Tiffany Ewton | 29, Lee Bonner | 27, See-Long Wong (Harvin)","","","","","","","","","","",""
"assistant","billing","","dropdown","Assistant:","1, Amy (Routt/Burgess) | 2, Audrey (Gary) | 3, Denise (Achor) | 4, Jeana (Munz) | 11, Kimberly Sirman (Prasarn) | 5, Tami (Choo/Harvin) | 6, Tiffany Ewton (Prasarn) | 7, Lee Bonner | 10, See-Long Wong (Harvin) | 8, Resident | 9, Fellow","","","","","","","","","","",""
"site","billing","","radio","Site:","1, Southwest | 2, Northwest | 3, Texas Medical Center | 4, Memorial City | 5, HOSH | 6, TMC Surgery Center | 7, LBJ","Where did service(s) take place?","","","","","","","LH","","",""
"billingmatrix","billing","","text","<table class='inputmatrix' style='width:100%;'>
<tr>
<th></th>
<th>ICD-9 [billing_date] -- #1</th>
<th>CPT</th>
<th>Surgeon Modifier</th>
<th>Assistant Modifier</th>
</tr>
<tr>
<th>1) </th>
<td>billing_diagnosis</td>
<td>billing_procedure</td>
<td>billing_modifier</td>
<td>billing_modifier1a</td>
</tr>
<tr>
<th>2) </th>
<td>billing_diagnosis1_2</td>
<td>billing_procedure1_2</td>
<td>billing_modifier1_2</td>
<td>billing_modifier1_2a</td>
</tr>
<tr>
<th>3) </th>
<td>billing_diagnosis1_3</td>
<td>billing_procedure1_3</td>
<td>billing_modifier1_3</td>
<td>billing_modifier1_3a</td>
</tr>
<tr>
<th>4) </th>
<td>billing_diagnosis1_4</td>
<td>billing_procedure1_4</td>
<td>billing_modifier1_4</td>
<td>billing_modifier1_4a</td>
</tr>
<tr>
<th>5) </th>
<td>billing_diagnosis1_5</td>
<td>billing_procedure1_5</td>
<td>billing_modifier1_5</td>
<td>billing_modifier1_5a</td>
</tr>
<tr>
<th>6) </th>
<td>billing_diagnosis1_6</td>
<td>billing_procedure1_6</td>
<td>billing_modifier1_6</td>
<td>billing_modifier1_6a</td>
</tr>
<tr>
<th>7) </th>
<td>billing_diagnosis1_7</td>
<td>billing_procedure1_7</td>
<td>billing_modifier1_7</td>
<td>billing_modifier1_7a</td>
</tr>
<tr>
<th>8) </th>
<td>billing_diagnosis1_8</td>
<td>billing_procedure1_8</td>
<td>billing_modifier1_8</td>
<td>billing_modifier1_8a</td>
</tr>
<tr>
<th>9) </th>
<td> </td>
<td>billing_procedure1_9</td>
<td>billing_modifier1_9</td>
<td>billing_modifier1_9a</td>
</tr>
<tr>
<th>10) </th>
<td> </td>
<td>billing_procedure1_10</td>
<td>billing_modifier1_10</td>
<td>billing_modifier1_10a</td>
</tr>
<tr>
<th>11) </th>
<td></td>
<td>billing_procedure1_11</td>
<td>billing_modifier1_11</td>
<td>billing_modifier1_11a</td>
</tr>
<tr>
<th>12) </th>
<td></td>
<td>billing_procedure1_12</td>
<td>billing_modifier1_12</td>
<td>billing_modifier1_12a</td>
</tr>
<tr>
<th>13) </th>
<td></td>
<td>billing_procedure1_13</td>
<td>billing_modifier1_13</td>
<td>billing_modifier1_13a</td>
</tr>
<tr>
<th>14) </th>
<td></td>
<td>billing_procedure1_14</td>
<td>billing_modifier1_14</td>
<td>billing_modifier1_14a</td>
</tr>
<tr>
<th>15) </th>
<td></td>
<td>billing_procedure1_15</td>
<td>billing_modifier1_15</td>
<td>billing_modifier1_15a</td>
</tr>
</table>","","@INPUTMATRIX","","","","","","","","","",""
"billing_diagnosis","billing","","text","Diagnosis (ICD-9)","","","","","","","","","","","",""
"billing_diagnosis1_2","billing","","text","Diagnosis (ICD-9)","","","","","","","","","","","",""
"billing_diagnosis1_3","billing","","text","Diagnosis (ICD-9)","","","","","","","","","","","",""
"billing_diagnosis1_4","billing","","text","Diagnosis (ICD-9)
","","","","","","","","","","","",""
"billing_diagnosis1_5","billing","","text","Diagnosis (ICD-9)","","","","","","","","","","","",""
"billing_diagnosis1_6","billing","","text","Diagnosis (ICD-9)","","","","","","","","","","","",""
"billing_diagnosis1_7","billing","","text","Diagnosis (ICD-9)","","","","","","","","","","","",""
"billing_diagnosis1_8","billing","","text","Diagnosis (ICD-9)","","","","","","","","","","","",""
"billing_procedure","billing","","text","<span style=color:#000FDA>[billing_date] (1) - Procedure (CPT)","","","","","","","","","","","",""
"billing_modifier","billing","","text","Modifier(s) to [billing_procedure]","","","","","","","","","","","",""
"billing_modifier1a","billing","","text","Modifier(s) to [billing_procedure]","","","","","","","","","","","",""
"billing_procedure1_2","billing","","text","<span style=color:#000FDA>[billing_date] (2) - Procedure (CPT)","","","","","","","","","","","",""
"billing_modifier1_2","billing","","text","Modifier(s) to [billing_procedure1_2]","","","","","","","","","","","",""
"billing_modifier1_2a","billing","","text","Modifier(s) to [billing_procedure]","","","","","","","","","","","",""
"billing_procedure1_3","billing","","text","<span style=color:#000FDA>[billing_date] (3) - Procedure (CPT)","","","","","","","","","","","",""
"billing_modifier1_3","billing","","text","Modifier(s) to [billing_procedure1_3]","","","","","","","","","","","",""
"billing_modifier1_3a","billing","","text","Modifier(s) to [billing_procedure1_3]","","","","","","","","","","","",""
"billing_procedure1_4","billing","","text","<span style=color:#000FDA>[billing_date] (4) - Procedure (CPT)","","","","","","","","","","","",""
"billing_modifier1_4","billing","","text","Modifier(s) to [billing_procedure1_4]","","","","","","","","","","","",""
