field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
registry_id,demographics,,text,"Registry ID",,,,,,,,,,,,,
surgeons,demographics,"____________________________________ Study Coordinator Information ____________________________________",dropdown,Surgeon,"1, Achor | 28, Amor | 35, Borden | 2, Brinker | 3, Burgess | 4, Choo | 5, Clyburn | 31, Conrad | 6, Crawford | 21, Dodwad | 42, English, D. Ian | 45, Eastman, Jon | 7, Fullick | 8, Gary | 30, Gonzalez, Joannah | 32, Greaser | 38, Gregory, Bonnie | 9, Harvin | 10, Koepplinger | 39, Lador, Ran | 11, Levaro | 12, Lowe | 13, Mansour, Alfred | 34, Mansour, Ashton | 14, Marco | 15, Martin | 16, McGarvey | 36, Mundluru | 17, Munz | 18, Prasarn | 19, Routt | 41, Ruygrok, Bryan (PA) | 44, Sabbara, Robert (NP) | 40, Sandifer, Heather (PA) | 27, Schroder | 33, Shaw | 23, Taylor | 25, Tinubu | 24, Tissue | 43, Torres-Barre | 37, Traver | 26, Warner | 22, Woerner | 20, Younas | 29, Yazdani | 0, OTHER",,,,,,,,,,,,
surgeon,demographics,,text,"Other Surgeon(s)",,"Separate multiple names with commas.",,,,,"[surgeons] = '0'",,,,,,
patient_status,demographics,"________________________________________ Patient Information ________________________________________",radio,"<div class=""rich-text-field-label""><p>Patient Status:</p></div>","0, New / Active | 1, Discharge | 2, Outpatient/Elective",,,,,,,y,RH,,,,
service_list,demographics,,checkbox,"SERVICE LIST(s):","1, ORS | 2, Spine | 3, Hand | 4, Southwest | 5, Fragility | 6, Peds | 7, MHOSH | 8, LBJ",,,,,,,,RH,,,,
peds_inj_type,demographics,,dropdown,"Peds Injury Category - 1st Injury","1, --Readmission | 2, Clavicle Fx | 3, Proximal Humerus Fx | 4, Diaphyseal Humerus Fx | 5, Supracondylar Humerus Fx | 6, Lateral Condyle Humerus Fx | 7, Medial Epicondyle humerus Fx | 8, Monteggia Fx/Dx | 9, Radial Neck Fx | 10, Olecranon Fx | 11, Radius / Ulna Diaphyseal Fx | 12, Distal Radius +/- Ulna Fx | 13, Pelvic / Acetabular Fx | 14, SCFE | 15, Proximal Femur Fx | 16, Diaphyseal Femur Fx | 17, Distal Femur Fx | 18, Tibial Tubercle Fx | 19, Tibial Spine Fx | 20, Proximal Tibia Fx | 21, Diaphyseal Tibia Fx | 22, Distal Tibia Fx | 23, Foot Fx | 24, Pathologic Fx | 25, Infection | 26, Other | 27, (Elective) Spine | 28, (Elective) Hip | 29, (Elective) Limb Deformity | 30, (Elective) Sports",,,,,,"[service_list(6)] = '1'",,,,,,
peds_inj_type_2,demographics,,dropdown,"Peds Injury Category - 2nd Injury","1, --Readmission | 2, Clavicle Fx | 3, Proximal Humerus Fx | 4, Diaphyseal Humerus Fx | 5, Supracondylar Humerus Fx | 6, Lateral Condyle Humerus Fx | 7, Medial Epicondyle humerus Fx | 8, Monteggia Fx/Dx | 9, Radial Neck Fx | 10, Olecranon Fx | 11, Radius / Ulna Diaphyseal Fx | 12, Distal Radius +/- Ulna Fx | 13, Pelvic / Acetabular Fx | 14, SCFE | 15, Proximal Femur Fx | 16, Diaphyseal Femur Fx | 17, Distal Femur Fx | 18, Tibial Tubercle Fx | 19, Tibial Spine Fx | 20, Proximal Tibia Fx | 21, Diaphyseal Tibia Fx | 22, Distal Tibia Fx | 23, Foot Fx | 24, Pathologic Fx | 25, Infection | 26, Other | 27, (Elective) Spine | 28, (Elective) Hip | 29, (Elective) Limb Deformity | 30, (Elective) Sports",,,,,,"[service_list(6)] = '1'",,,,,,
peds_inj_type_3,demographics,,dropdown,"Peds Injury Category - 3rd Injury","1, --Readmission | 2, Clavicle Fx | 3, Proximal Humerus Fx | 4, Diaphyseal Humerus Fx | 5, Supracondylar Humerus Fx | 6, Lateral Condyle Humerus Fx | 7, Medial Epicondyle humerus Fx | 8, Monteggia Fx/Dx | 9, Radial Neck Fx | 10, Olecranon Fx | 11, Radius / Ulna Diaphyseal Fx | 12, Distal Radius +/- Ulna Fx | 13, Pelvic / Acetabular Fx | 14, SCFE | 15, Proximal Femur Fx | 16, Diaphyseal Femur Fx | 17, Distal Femur Fx | 18, Tibial Tubercle Fx | 19, Tibial Spine Fx | 20, Proximal Tibia Fx | 21, Diaphyseal Tibia Fx | 22, Distal Tibia Fx | 23, Foot Fx | 24, Pathologic Fx | 25, Infection | 26, Other | 27, (Elective) Spine | 28, (Elective) Hip | 29, (Elective) Limb Deformity | 30, (Elective) Sports",,,,,,"[service_list(6)] = '1'",,,,,,
peds_inj_type_4,demographics,,dropdown,"Peds Injury Category - 4th Injury","1, --Readmission | 2, Clavicle Fx | 3, Proximal Humerus Fx | 4, Diaphyseal Humerus Fx | 5, Supracondylar Humerus Fx | 6, Lateral Condyle Humerus Fx | 7, Medial Epicondyle humerus Fx | 8, Monteggia Fx/Dx | 9, Radial Neck Fx | 10, Olecranon Fx | 11, Radius / Ulna Diaphyseal Fx | 12, Distal Radius +/- Ulna Fx | 13, Pelvic / Acetabular Fx | 14, SCFE | 15, Proximal Femur Fx | 16, Diaphyseal Femur Fx | 17, Distal Femur Fx | 18, Tibial Tubercle Fx | 19, Tibial Spine Fx | 20, Proximal Tibia Fx | 21, Diaphyseal Tibia Fx | 22, Distal Tibia Fx | 23, Foot Fx | 24, Pathologic Fx | 25, Infection | 26, Other | 27, (Elective) Spine | 28, (Elective) Hip | 29, (Elective) Limb Deformity | 30, (Elective) Sports",,,,,,"[service_list(6)] = '1'",,,,,,
peds_inj_type_5,demographics,,dropdown,"Peds Injury Category - 5th Injury","1, --Readmission | 2, Clavicle Fx | 3, Proximal Humerus Fx | 4, Diaphyseal Humerus Fx | 5, Supracondylar Humerus Fx | 6, Lateral Condyle Humerus Fx | 7, Medial Epicondyle humerus Fx | 8, Monteggia Fx/Dx | 9, Radial Neck Fx | 10, Olecranon Fx | 11, Radius / Ulna Diaphyseal Fx | 12, Distal Radius +/- Ulna Fx | 13, Pelvic / Acetabular Fx | 14, SCFE | 15, Proximal Femur Fx | 16, Diaphyseal Femur Fx | 17, Distal Femur Fx | 18, Tibial Tubercle Fx | 19, Tibial Spine Fx | 20, Proximal Tibia Fx | 21, Diaphyseal Tibia Fx | 22, Distal Tibia Fx | 23, Foot Fx | 24, Pathologic Fx | 25, Infection | 26, Other | 27, (Elective) Spine | 28, (Elective) Hip | 29, (Elective) Limb Deformity | 30, (Elective) Sports",,,,,,"[service_list(6)] = '1'",,,,,,
